Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2025-01-06 09:00:00,"Push Day",45m,"Bench Press",1,135.0,10.0,0,0.0,
2025-01-06 09:00:00,"Push Day",45m,"Bench Press",2,155.0,8.0,0,0.0,7
2025-01-06 09:00:00,"Push Day",45m,"Bench Press",3,155.0,6.0,0,0.0,8
2025-01-06 09:00:00,"Push Day",45m,"Overhead Press",1,95.0,10.0,0,0.0,
2025-01-06 09:00:00,"Push Day",45m,"Overhead Press",2,95.0,8.0,0,0.0,
2025-01-06 09:00:00,"Push Day",45m,"Tricep Pushdown",1,60.0,12.0,0,0.0,
2025-01-06 09:00:00,"Push Day",45m,"Elliptical Machine",1,0,0.0,0.8,300.0,
2025-01-08 09:00:00,"Pull Day",50m,"Barbell Row",1,135.0,10.0,0,0.0,
2025-01-08 09:00:00,"Pull Day",50m,"Barbell Row",2,155.0,8.0,0,0.0,7
2025-01-08 09:00:00,"Pull Day",50m,"Lat Pulldown",1,120.0,10.0,0,0.0,
2025-01-08 09:00:00,"Pull Day",50m,"Lat Pulldown",2,120.0,8.0,0,0.0,
2025-01-08 09:00:00,"Pull Day",50m,"Bicep Curl",1,35.0,12.0,0,0.0,
2025-01-08 09:00:00,"Pull Day",50m,"Elliptical Machine",1,0,0.0,0.85,300.0,
2025-01-10 09:00:00,"Leg Day",55m,"Squat",1,185.0,10.0,0,0.0,
2025-01-10 09:00:00,"Leg Day",55m,"Squat",2,205.0,8.0,0,0.0,8
2025-01-10 09:00:00,"Leg Day",55m,"Squat",3,205.0,6.0,0,0.0,9
2025-01-10 09:00:00,"Leg Day",55m,"Leg Press",1,270.0,12.0,0,0.0,
2025-01-10 09:00:00,"Leg Day",55m,"Leg Curl (Machine)",1,100.0,12.0,0,0.0,
2025-01-10 09:00:00,"Leg Day",55m,"Elliptical Machine",1,0,0.0,0.75,300.0,
